nombre,categoria,rating,reviews,horario,direccion,ciudad,provincia,web,telefono,mapa,imagen,reseña
Acero,Restaurante,"4,3",413,"lunes, De 9:30 a 1:00; martes, Cerrado; miércoles, Cerrado; jueves, Cerrado; viernes, De 12:00 a 1:00; sábado, De 12:00 a 1:00; domingo, De 12:00 a 17:00","C. Cdad. de Haro, 2, 09200 Miranda de Ebro, Burgos",Miranda de Ebro,Burgos,https://instagram.com/acerogastrobar?igshid=YmMyMTA2M2Y=,947 00 85 33,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2932.6811261569637!2d-2.946915503210451!3d42.6892965!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd4f9bf0e4862ed9%3A0xebd18be8cc0ea320!2sAcero!5e0!3m2!1ses!2ses!4v1748728414404!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqY6niajDYwxB73UB_-lDx4egq-Ep_Z9hvALAktxVD_t-c1-XzFQ9z0ofvLFxD_cLrw-_NiwA2jM9V8O55cyytgKcSpL8Ivx_KOq4JMNi6_JV67XFH2KtH-35ri6cPOGebjrANg=w426-h240-k-no,"Acero, ubicado en Miranda de Ebro, destaca según sus visitantes por comentarios como: Comida para dos hoy, comimos, menú del Día : Yo  garbanzos y  codillo, Y  mi pareja  croquetas de idiazabal y wook, que de nota bajan bastante , estos 2 últimos,  los dos platos de postre crema de yogourt , bastante sencilla, y un sandwich 🥪 de helado de nata bastante normal, de los de supermercado, no destaca x sus postres ! Bebida agua individual de 500cl , cada una , Precio 15’90 €."
Alcampo,Supermercado,4,173,"lunes, De 9:00 a 22:00; martes, De 9:00 a 22:00; miércoles, De 9:00 a 22:00; jueves, De 9:00 a 22:00; viernes, De 9:00 a 22:00; sábado, De 9:00 a 22:00; domingo, Cerrado","C. Vitoria, 26, 09200 Miranda de Ebro, Burgos",Miranda de Ebro,Burgos,https://www.alcampo.es/empresa//tienda/carlos-iii?utm_campaign=gmb_%2Fempresa%2F%2Ftienda%2Fcarlos-iii&amp;utm_content=%2Fempresa%2F%2Ftienda%2Fcarlos-iii&amp;utm_medium=localoo&amp;utm_source=google&amp;utm_term=gmb_,947 32 44 13,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2932.7134866994224!2d-2.9583747032104393!3d42.688611099999996!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd4f9abd004f98cf%3A0xfe55076cc4ba2e0c!2sAlcampo!5e0!3m2!1ses!2ses!4v1748728500130!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq2IsfsxN9FTaHU3LCPxFMFfmamnWMvWw5Uk-QCCLxHiFkY1r4j-u0QGgOZYm_fU-L1UtfW4lRfVUpvElIaAyQohruevkduvM3toT0_50jN6UCwvjgpFqMj8qTOdQm9sYjPqXHd7Q=w426-h240-k-no,"Alcampo, ubicado en Miranda de Ebro, destaca según sus visitantes por comentarios como: Alcampo Carlos III, parking, mostradores de pescaderia y carnicería. Gran variedad de productos y amabilidad de los trabajadores.."
Café Deluxe,Cafetería,"4,3",475,"lunes, De 8:00 a 23:00; martes, De 8:00 a 23:00; miércoles, De 8:00 a 23:00; jueves, De 8:00 a 23:00; viernes, De 8:00 a 23:00; sábado, De 9:00 a 24:00; domingo, De 9:00 a 23:00","Av. Europa, 22, 09200 Miranda de Ebro, Burgos",Miranda de Ebro,Burgos,,947 11 00 77,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2932.9148501153672!2d-2.940854403210406!3d42.684346000000005!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd4f9009896b76cd%3A0xb426109d3ff83017!2sCaf%C3%A9%20Deluxe!5e0!3m2!1ses!2ses!4v1748728319032!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npsSIaogCQDUc1ASZFJrSgZIbhwmV5_Wo9-nAyqJtvc3ZD3IVhb917egLE06yUWDp5ExIO0WnSJAvunaenzAbiIE7OaNUG1CSbj0NQp24rzhYI6BX8_uFX6WL1xybAhWuCTA6ma=w426-h240-k-no,"Café Deluxe, ubicado en Miranda de Ebro, destaca según sus visitantes por comentarios como: Las orejas estás espectaculares, llevo mas de 2 meses comprando 2 orejitas todos los viernes, y hoy por primera vez me han cobrado 0,30€ por ponerle alegrías a cada oreja. Osea 0,60€ por ponerles esa cantidad de alegrías, en serio? Tenía pensando comer los viernes orejas siempre, pero debido a este robo “y debido a esta reseña”, no pienso comer más, y me arrepiento, porque están deliciosas.."
Cafeteria La Parada,Cafetería,"4,7",93,"lunes, De 8:00 a 22:00; martes, De 8:00 a 22:00; miércoles, De 8:00 a 22:00; jueves, De 8:00 a 22:00; viernes, De 8:00 a 22:00; sábado, De 8:30 a 23:00; domingo, De 10:00 a 16:30","C. Logroño, 34, 09200 Miranda de Ebro, Burgos",Miranda de Ebro,Burgos,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2932.6807664889616!2d-2.944059942363403!3d42.68930411775957!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd4f9aa070785a15%3A0x438d26b7232726ee!2sCafeteria%20La%20Parada!5e0!3m2!1ses!2ses!4v1748728301970!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr5rsO_fFD8YeF4NOoMsLTrpMAxLYRl8FLLIQivcvnQ_XAJilrQK6ohxMJPaPp7ZH5HfqY4HbqOuTsxZrzOtpQb8e7bnpJS4jaJGqeYtIgjKSQua9HJ0207GsDI_lXAkk52c6hY=w408-h306-k-no,"Cafeteria La Parada, ubicado en Miranda de Ebro, destaca según sus visitantes por comentarios como: Buen lugar para tomarse unos pinchos en un ambiente tranquilo. Buena calidad-precio y trato. Salimos bastante satisfechos.."
Carbón Restaurante,Restaurante de alta cocina,"4,5",695,"lunes, De 13:00 a 15:45, De 20:00 a 22:30; martes, De 13:00 a 15:45, De 20:00 a 22:30; miércoles, De 13:00 a 15:45, De 20:00 a 22:30; jueves, De 13:00 a 15:45, De 20:00 a 22:30; viernes, De 13:00 a 15:45, De 21:00 a 22:45; sábado, De 13:00 a 15:45, De 21:00 a 22:45; domingo, De 13:00 a 15:45, De 20:00 a 22:30","C. La Estación, 80, 09200 Miranda de Ebro, Burgos",Miranda de Ebro,Burgos,https://carbonrestaurante.com/,947 34 70 07,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2932.6811261569637!2d-2.946915503210451!3d42.6892965!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd4f9b07a2812f63%3A0x29435dfbd6572eaf!2sCarb%C3%B3n%20Restaurante!5e0!3m2!1ses!2ses!4v1748728432908!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npK5BPHaxMHyujkF5cJqaZwyt6ZyO01HMAal5JKD3wuDi046SZKX_cmENkX2dF7ehvASxE88A2BPwHp5Mm2Y60y_NKjy9ZjDi4QEH9BMvb2y106L5XQjQUvJ42jCAbc1jHQpsCc=w408-h306-k-no,"Carbón Restaurante, ubicado en Miranda de Ebro, destaca según sus visitantes por comentarios como: Fuimos a comer, menú del día. Las lentejas buenas, un poco sosas... Los guisantes sin más... nada en especial.. Esta es solo una muestra del aprecio (o crítica) que genera entre quienes lo visitan."
Carnicería V.O.- Víctor M. Ortiz,Carnicería,"4,8",30,"lunes, De 8:15 a 14:00, De 17:30 a 21:00; martes, De 8:15 a 14:00, De 17:30 a 21:00; miércoles, De 8:15 a 14:00, De 17:30 a 21:00; jueves, De 8:15 a 14:00, De 17:30 a 21:00; viernes, De 8:00 a 14:00, De 17:30 a 21:00; sábado, De 8:00 a 14:00; domingo, Cerrado","C. Carlos III, 10, 09200 Miranda de Ebro, Burgos",Miranda de Ebro,Burgos,,947 31 09 64,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2932.8797917371285!2d-2.9511056032104497!3d42.6850886!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd4f9abcdddbaa8f%3A0xe957efe1e208ce1e!2sCarnicer%C3%ADa%20V.O.-%20V%C3%ADctor%20M.%20Ortiz!5e0!3m2!1ses!2ses!4v1748728391538!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEx8I1JXqV1YwPeWBDG0Og58dnh76UCvKj7gSFZ-PUW-osvk5j7yBVGkfBGSPWdmN4CP-5PYgTQ9JxLOxHJ3HPuObIQ9Y96TKYnlkQMIJEC40nOtduMH_X1s5qY2BaaoUivxNxgw=w426-h240-k-no,"Carnicería V.O.- Víctor M. Ortiz, ubicado en Miranda de Ebro, destaca según sus visitantes por comentarios como: Encantada con esta carnicería y con Víctor, se agradece el trato que te da y la carne es de calidad a un precio totalmente normal. Muchas gracias, tienes una clienta fija.."
CELEDON,Servicio de distribución,"4,4",9,"lunes, De 9:00 a 13:00; martes, De 9:00 a 13:00; miércoles, De 9:00 a 13:00; jueves, De 9:00 a 13:00; viernes, De 9:00 a 13:00; sábado, Cerrado; domingo, Cerrado","Crta. Nacional, 69-71, 09200 Miranda de Ebro, Burgos",Miranda de Ebro,Burgos,http://celedon.es/,947 34 73 11,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2932.6540627140066!2d-2.9549793032104583!3d42.68986969999999!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd4f9abe1a36e2f9%3A0x3d92cb65224556f!2sCELEDON!5e0!3m2!1ses!2ses!4v1748728626970!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npfnBykSHah6AIKMXFYSMBU5nugzaPpCCwkDDRQvvpGbF6aPCLcBwfRrnI4SRIhSTVhyPtr6873V1FqM-GpoEqobCYipxmygRzbF8jDg5jMA4UY29_g9dZ4DpQyv8ehd58WVSMi=w408-h544-k-no,"CELEDON, ubicado en Miranda de Ebro, destaca según sus visitantes por comentarios como: Muy buenos productos.😋…."
Centro de jardinería Espacios Verdes,Centro de jardinería,"4,5",119,"lunes, De 10:00 a 13:30, De 16:30 a 19:30; martes, De 10:00 a 13:30, De 16:30 a 19:30; miércoles, De 10:00 a 13:30, De 16:30 a 19:30; jueves, De 10:00 a 13:30, De 16:30 a 19:30; viernes, De 10:00 a 13:30, De 16:30 a 19:30; sábado, De 9:30 a 14:00; domingo, Cerrado","Fuentecaliente, S.N, 09200 Miranda de Ebro, Burgos",Miranda de Ebro,Burgos,,947 56 62 15,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2933.6007828984493!2d-2.9423865032104493!3d42.6698146!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd4f9abbc9127023%3A0xf8b293d5d9e474a4!2sCentro%20de%20jardiner%C3%ADa%20Espacios%20Verdes!5e0!3m2!1ses!2ses!4v1748728600846!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqccHi-1IQuQKy1umjkcYS1TTyjXCgMWDSwJVBXfnOZZ59FhLHklNDrl7x8bFlzqac4qalmQw3JnSLHsdW-ecd-wiht9czcI9nU7-Ff9D-y4xIkYItKBc7asLrqLhRbL_3lPFBM=w426-h240-k-no,"Centro de jardinería Espacios Verdes, ubicado en Miranda de Ebro, destaca según sus visitantes por comentarios como: Excelente sitio. Gran variedad de plantas y accesorios y fenomenal atención."
EROSKI,Supermercado,4,541,"lunes, De 9:00 a 21:00; martes, De 9:00 a 21:00; miércoles, De 9:00 a 21:00; jueves, De 9:00 a 21:00; viernes, De 9:00 a 21:00; sábado, De 9:00 a 21:00; domingo, Cerrado","El, C. Arenal, 73-75, 09200 Miranda de Ebro, Burgos",Miranda de Ebro,Burgos,http://www.eroski.es/,947 33 33 30,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2932.841484726117!2d-2.948703603210449!3d42.68590000000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd45e33327e26bc7%3A0xf8d3d6f11bd2322d!2sEROSKI!5e0!3m2!1ses!2ses!4v1748728609048!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqn--AVuUZwlRs2APteqP1UDKhtB4Bb6RbCnF_WM5PNp_wF8iMtaugBNh2c2PfwtTe3vM7e_a_2MKLAwhzsRxopuHxKbt94ex8xGwtj9DKx37h_LaH76ZOB7Enuotmfu2KRUEnZBg=w408-h725-k-no,"EROSKI, ubicado en Miranda de Ebro, destaca según sus visitantes por comentarios como: Eroski pequeño de andar por casa. Pasillos organizados. Fruta y verdura fresca. Carnicería y pescadería con muy buena pinta. Suelen tener ofertas de descuentos en carne y demás artículos por pronta caducidad. En general atentos educados y amables.."
GM Cash,Autoservicio mayorista,"4,1",251,"lunes, De 8:00 a 14:00, De 16:00 a 20:00; martes, De 8:00 a 14:00, De 16:00 a 20:00; miércoles, De 8:00 a 14:00, De 16:00 a 20:00; jueves, De 8:00 a 14:00, De 16:00 a 20:00; viernes, De 8:00 a 14:00, De 16:00 a 20:00; sábado, De 8:00 a 14:00; domingo, Cerrado","Poligono Industrial Las Californias, Ctra. Bilbao, 09200 Miranda de Ebro, Burgos",Miranda de Ebro,Burgos,http://www.gmcash.es/,947 33 22 09,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2932.5291950238657!2d-2.951379603210449!3d42.692514300000006!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd4f9a99c1083577%3A0x67907106da736c11!2sGM%20Cash!5e0!3m2!1ses!2ses!4v1748728403336!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/p/AF1QipN0L4t6OGUCZJ8iRMJQT8lXkFv2CAyiKNO3TKOQ=w408-h272-k-no,"GM Cash, ubicado en Miranda de Ebro, destaca según sus visitantes por comentarios como: Me gusta mucho, buenos precios y gran variedad de productos. Hay muy buenas ofertas de carnes, quesos y muchos productos más. La marca propia es de muy buena calidad, hay buena atención en general y al ser tan amplio el local es muy cómodo para compras al por mayor.. Esta es solo una muestra del aprecio (o crítica) que genera entre quienes lo visitan."
Gran Bazar Hiper Asia,Bazar,"4,3",10,"lunes, De 9:30 a 21:00; martes, De 9:30 a 21:00; miércoles, De 9:30 a 21:00; jueves, De 9:30 a 21:00; viernes, De 9:30 a 21:00; sábado, De 9:30 a 21:00; domingo, Cerrado","C. Ramón y Cajal, 48, 09200 Miranda de Ebro, Burgos",Miranda de Ebro,Burgos,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2932.826174032053!2d-2.9540090032104462!3d42.68622429999999!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd4f9aa18ddbbd21%3A0x2061a61cca1812ee!2sGran%20Bazar%20Hiper%20Asia!5e0!3m2!1ses!2ses!4v1748728454811!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kjmmtjtgfgIf1fi7tViGtA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=142.38246&pitch=0&thumbfov=100,"Gran Bazar Hiper Asia, ubicado en Miranda de Ebro, destaca según sus visitantes por comentarios como: Está muy bien para comprar cualquier cosa de última hora pues tienen casi de todo."
Hiper Casa,Tienda de artículos para el hogar,"4,3",176,"lunes, De 9:30 a 21:30; martes, De 9:30 a 21:30; miércoles, De 9:30 a 21:30; jueves, De 9:30 a 21:30; viernes, De 9:30 a 21:30; sábado, De 9:30 a 21:30; domingo, Cerrado","Poligno Las Californias, Calle ribera de ebro 6, 09200 Miranda de Ebro, Burgos",Miranda de Ebro,Burgos,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2932.396421227697!2d-2.959899203210449!3d42.695326200000004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd4f9bcffa51b1c1%3A0xa3797846fb0f8167!2sHiper%20Casa!5e0!3m2!1ses!2ses!4v1748728327657!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqW01_6bBqjd2DLzkJHhCfo-x9WncuW1lMIlRoxqFBTtCMLGCQ6J8nUupYiKIWDXXzymi_YT4krQepcmVGo1GuDPF0-ga2YNRDZ8qOxv5l9zmyiMU8DdtfUl0wuA7KpzhP-fiqD=w521-h240-k-no,"Hiper Casa, ubicado en Miranda de Ebro, destaca según sus visitantes por comentarios como: Mucha variedad de producto como corresponde a un gran bazar, precios en la media de este tipo de negocios con descuentos por apertura. Muy buena atención por parte del personal y fácil aparcamiento junto a Mercadona y decathlon.."
Hipermercado E.Leclerc Miranda de Ebro,Hipermercado,"4,1",3023,"lunes, De 9:00 a 21:30; martes, De 9:00 a 21:30; miércoles, De 9:00 a 21:30; jueves, De 9:00 a 21:30; viernes, De 9:00 a 21:30; sábado, De 9:00 a 21:30; domingo, Cerrado","Calle Jerea, S/N, 09200 Miranda de Ebro, Burgos",Miranda de Ebro,Burgos,http://www.e-leclerc.es/tiendas/miranda-de-ebro,947 34 88 00,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2932.4483577344395!2d-2.95703640321045!3d42.694226300000004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd4f9a96ace6f81f%3A0x8db35d7c27862839!2sHipermercado%20E.Leclerc%20Miranda%20de%20Ebro!5e0!3m2!1ses!2ses!4v1748728351891!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nojiVEqwVdC3b7R4Lmnqj6Wa2tyaXPzGEVLQY4h8Wlzz6bTMtlu3WIWZkN09uA7W-8RK75zf4bD272Zkg5B5TrebWkTLmdAoM4YjADDsGkSLsmy6P0IJ7dqnYEAOSu6QicU0DXspQ=w426-h240-k-no,"Hipermercado E.Leclerc Miranda de Ebro, ubicado en Miranda de Ebro, destaca según sus visitantes por comentarios como: Aviso urgente, no compréis carne ni ningún tipo de producto precio a no ser que queráis arriesgaros a sufrir una intoxicación alimenticia, no comentaré mucho más, solo dejo aquí las imágenes del cachopo que habíamos comprado mi pareja y yo para cenar hoy, negro como el carbón el “filete de ternera”.."
Hostal Restaurante La Ferroviaria,Hotel,"4,1",783,,"C. Cdad. Jardín, 1, 09200 Miranda de Ebro, Burgos",Miranda de Ebro,Burgos,,947 31 03 75,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2932.6811261569637!2d-2.946915503210451!3d42.6892965!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd4f9a9f7b613fc7%3A0x418a17962425a8c4!2sHostal%20Restaurante%20La%20Ferroviaria!5e0!3m2!1ses!2ses!4v1748728423329!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nodQebv6rXkyPG5Q2WWvhe-1l74Cb4R4egmrcD4nDpTrHtTNMg4MzzjEqioyC8mXVt5g-vrlfn_xPS0bpypOBAmZznOm_fI2og-yo7LvQ9xNfg-NLuGWMgjRCKQnjNrHeSpX0FDzQ=w426-h240-k-no,"Hostal Restaurante La Ferroviaria, ubicado en Miranda de Ebro, destaca según sus visitantes por comentarios como: El almuerzo es excelente, comida muy rica y variedad de opciones. No sé por qué hay comentarios diciendo que te apuran para comer, definitivamente eso no me ha ocurrido. Por el contrario, el personal es súper amable.."
Hotel Sercotel Ciudad de Miranda,,"4,5",1131,,"C. La Estación, 80, 82, 09200 Miranda de Ebro, Burgos",Miranda de Ebro,Burgos,https://www.sercotelhoteles.com/es/hotel-ciudad-de-miranda,947 34 76 36,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2932.670715359231!2d-2.9457566032104463!3d42.68951699999999!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd4f9aa1de4c8215%3A0xec4bbbf5d6db9fa4!2sHotel%20Sercotel%20Ciudad%20de%20Miranda!5e0!3m2!1ses!2ses!4v1748728479516!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/p/AF1QipPY_smtgl5NqvYw3vBTRy8Y_82i7ZvMu2eGsxh2=w408-h271-k-no,"Hotel Sercotel Ciudad de Miranda, ubicado en Miranda de Ebro, destaca según sus visitantes por comentarios como: Hemos ido tres días en semana santa y nos atendió Marta para el check in, muy amable nos explicó todo lo que podíamos hacer tanto en Miranda de Ebro como alrededores, aconsejandonos muy bien ya que los sitios a los que nos indico fueron preciosos. Las habitaciones muy bien aprovechadas y la limpieza muy correctamente el buffet de desayuno  algo corto pero variado y casero, nos atendió Berta que fue muy simpática desde el principio y muy atenta. En definitiva una muy buena experiencia."
Hotel Tudanca Miranda,,"3,6",2547,,"Carretera Nacional I, km. 318, 09200 Miranda de Ebro, Burgos",Miranda de Ebro,Burgos,http://www.hoteltudanca.com/,947 31 18 43,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2932.7134866994224!2d-2.9583747032104393!3d42.688611099999996!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd4f9abe3da1eb0f%3A0x2d64cce4c254a8a3!2sHotel%20Tudanca%20Miranda!5e0!3m2!1ses!2ses!4v1748728490019!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFQadoVcD3xDpPylq-jLTh0LNZYHi8RCQcuX1Oo7U-ACilEdkOdvaF1vNp_gxuNZT9idKBO5UmcuDgwmeiEUKotG487X0LLxMDHRe8bwAiQlZorZB-qAz_ha1kpxaDB4mbu98qUXSFKGxYVUsCq7yuIY7-PcwQCrEuUIupfoensWSWUWNlvNHc8=w408-h272-k-no,"Hotel Tudanca Miranda, ubicado en Miranda de Ebro, destaca según sus visitantes por comentarios como: Es el hotel donde me hospeda la compañía cada vez que vengo a trabajar a la zona. Es buen hotel, el personal es atento, amable y servicial. Habitaciones sencillas pero limpias y cómodas, tiene un restaurante con menú y en general es un buen lugar para pernoctar o estar varios días. Cerca del centro caminando como a 10 minutos y a otros 5 minutos está la estación de tren y autobuses. Un sitio agradable, limpio y tranquilo.."
Libreria Estudio,Papelería,5,1,"lunes, De 9:30 a 13:45, De 17:00 a 20:15; martes, De 9:30 a 13:45, De 17:00 a 20:15; miércoles, De 9:30 a 13:45, De 17:00 a 20:15; jueves, De 9:30 a 13:45, De 17:00 a 20:15; viernes, De 9:30 a 13:45, De 17:00 a 20:15; sábado, De 10:00 a 13:45; domingo, Cerrado","C. Arenal, 47, 09200 Miranda de Ebro, Burgos",Miranda de Ebro,Burgos,,947 04 90 10,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2932.841484726117!2d-2.948703603210449!3d42.68590000000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd4f9b007f5aa00b%3A0x4377f66045a776ed!2sLibreria%20Estudio!5e0!3m2!1ses!2ses!4v1748728618189!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZODIvmaR8Blg9PKgRIG2Wg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=327.549&pitch=0&thumbfov=100,"Libreria Estudio, ubicado en Miranda de Ebro, destaca según sus visitantes por comentarios como: Muy buena selección de libros, la chica que nos atendió muy amable y competente. Muy recomendable.."
Librería Papelería Diana,Papelería,"4,8",12,"lunes, De 10:00 a 13:45, De 17:00 a 20:15; martes, De 10:00 a 13:45, De 17:00 a 20:15; miércoles, De 10:00 a 13:45, De 17:00 a 20:15; jueves, De 10:00 a 13:45, De 17:00 a 20:15; viernes, De 10:00 a 13:45, De 17:00 a 20:15; sábado, De 10:00 a 14:00; domingo, Cerrado","Calle Francisco Cantera, 13, 09200 Miranda de Ebro, Burgos",Miranda de Ebro,Burgos,,947 33 33 37,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2932.8205652806478!2d-2.9485094032104455!3d42.68634310000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd4f9aa39e4b1d07%3A0xa01bc053d77ed0a7!2sLibrer%C3%ADa%20Papeler%C3%ADa%20Diana!5e0!3m2!1ses!2ses!4v1748728592854!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq4ssw87UalxtigiLAE2Gev4JVTDsiiULEt8Htm5tpLMfa5054kwhmHvTqS5UeP419wqc2aWi8VCD6RCx_u8FWqe8Z2oe42sN8aKXjrVbAe5-h7UUyS3Qd7SZ3NHTkFKpU5L9eh=w408-h544-k-no,"Librería Papelería Diana, ubicado en Miranda de Ebro, destaca según sus visitantes por comentarios como: Buen servicio, atención y amabilidad. Gran variedad de material escolar, oficina y muchas mochilas!! Incluso es ideal para hacer regalos. Excelente ubicación. Apoyando al negocio local."
